Building models/googlenet.lua model 
	
Operations estimation for image size: 256 x 256	

-----------------------------------------------------------------------------------------------	
S.No. Module Name                       Input Resolution     Neurons             Ops     % Ops	
   79 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   80 nn.SpatialMaxPooling             1 x 512 x 16 x 16      131072         1179648    0.0283	
   81 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        16793600    0.4032	
   82 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
   83 nn.Concat                        1 x 512 x 16 x 16      131072               0    0.0000	
   84 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   85 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        33587200    0.8064	
   86 nn.ReLU                          1 x 128 x 16 x 16       32768           32768    0.0008	
   87 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   88 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        33587200    0.8064	
   89 nn.ReLU                          1 x 128 x 16 x 16       32768           32768    0.0008	
   90 nn.SpatialConvolution            1 x 128 x 16 x 16       32768       151060480    3.6268	
   91 nn.ReLU                          1 x 256 x 16 x 16       65536           65536    0.0016	
   92 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   93 nn.SpatialConvolution            1 x 512 x 16 x 16      131072         6297600    0.1512	
   94 nn.ReLU                           1 x 24 x 16 x 16        6144            6144    0.0001	
   95 nn.SpatialConvolution             1 x 24 x 16 x 16        6144        19677184    0.4724	
   96 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
   97 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
   98 nn.SpatialMaxPooling             1 x 512 x 16 x 16      131072         1179648    0.0283	
   99 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        16793600    0.4032	
  100 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
  101 nn.Concat                        1 x 512 x 16 x 16      131072               0    0.0000	
  102 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
  103 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        29388800    0.7056	
  104 nn.ReLU                          1 x 112 x 16 x 16       28672           28672    0.0007	
  105 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
  106 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        37785600    0.9072	
  107 nn.ReLU                          1 x 144 x 16 x 16       36864           36864    0.0009	
  108 nn.SpatialConvolution            1 x 144 x 16 x 16       36864       191176704    4.5899	
  109 nn.ReLU                          1 x 288 x 16 x 16       73728           73728    0.0018	
  110 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
  111 nn.SpatialConvolution            1 x 512 x 16 x 16      131072         8396800    0.2016	
  112 nn.ReLU                           1 x 32 x 16 x 16        8192            8192    0.0002	
  113 nn.SpatialConvolution             1 x 32 x 16 x 16        8192        26230784    0.6298	
  114 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
  115 nn.Sequential                    1 x 512 x 16 x 16      131072               0    0.0000	
  116 nn.SpatialMaxPooling             1 x 512 x 16 x 16      131072         1179648    0.0283	
  117 nn.SpatialConvolution            1 x 512 x 16 x 16      131072        16793600    0.4032	
  118 nn.ReLU                           1 x 64 x 16 x 16       16384           16384    0.0004	
  119 nn.Concat                        1 x 528 x 16 x 16      135168               0    0.0000	
  120 nn.Sequential                    1 x 528 x 16 x 16      135168               0    0.0000	
  121 nn.SpatialConvolution            1 x 528 x 16 x 16      135168        69271552    1.6631	
  122 nn.ReLU                          1 x 256 x 16 x 16       65536           65536    0.0016	
  123 nn.Sequential                    1 x 528 x 16 x 16      135168               0    0.0000	
  124 nn.SpatialConvolution            1 x 528 x 16 x 16      135168        43294720    1.0395	
  125 nn.ReLU                          1 x 160 x 16 x 16       40960           40960    0.0010	
  126 nn.SpatialConvolution            1 x 160 x 16 x 16       40960       236011520    5.6663	
  127 nn.ReLU                          1 x 320 x 16 x 16       81920           81920    0.0020	
  128 nn.Sequential                    1 x 528 x 16 x 16      135168               0    0.0000	
  129 nn.SpatialConvolution            1 x 528 x 16 x 16      135168         8658944    0.2079	
  130 nn.ReLU                           1 x 32 x 16 x 16        8192            8192    0.0002	
  131 nn.SpatialConvolution             1 x 32 x 16 x 16        8192        52461568    1.2595	
  132 nn.ReLU                          1 x 128 x 16 x 16       32768           32768    0.0008	
  133 nn.Sequential                    1 x 528 x 16 x 16      135168               0    0.0000	
  134 nn.SpatialMaxPooling             1 x 528 x 16 x 16      135168         1216512    0.0292	
  135 nn.SpatialConvolution            1 x 528 x 16 x 16      135168        34635776    0.8316	
  136 nn.ReLU                          1 x 128 x 16 x 16       32768           32768    0.0008	
  137 nn.SpatialMaxPooling             1 x 832 x 16 x 16      212992          479232    0.0115	
  138 nn.Concat                          1 x 832 x 8 x 8       53248               0    0.0000	
  139 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
